ID,MARKETING_CODE,STATUS_PANTINUM,STATUS_GOLD,STATUS_SILVER,NUM_DEAL,LAST_DEAL,ADVANCE_PURCHASE,FARE_L_Y1,FARE_L_Y2,FARE_L_Y3,FARE_L_Y4,FARE_L_Y5,KM_L_Y1,KM_L_Y2,KM_L_Y3,KM_L_Y4,KM_L_Y5,CHANGE_CAR,DELAYED_CAR,CALL_CENTER_FLAG,VIP_SERVICE,BUYER_FLAG
1,3,0,0,0,2,60,21,117,106,109,124,141,201.9,197.6,156.3,154.2,161.5,0,0,0,0,0
2,1,0,0,0,4,40,28,175,166,157,157,176,169.9,199.4,202.9,158.8,192.3,0,0,0,0,0
3,4,0,0,0,3,76,15,251,208,221,224,258,121.4,74.9,103.3,160.3,192.7,0,0,0,0,0
4,4,0,0,1,2,108,24,218,212,209,204,199,199.2,219.6,215.2,177.1,199,0,0,0,0,0
5,1,0,0,0,2,88,17,170,176,179,187,182,147.4,143.6,153.8,184.4,183.6,0,0,0,0,0
6,5,0,0,0,4,44,18,174,176,179,181,175,116.2,147.7,141.4,167.2,154.6,0,0,0,0,0
7,5,0,0,0,8,24,26,181,173,167,167,169,118.4,94.5,128.9,116.7,130.1,0,1,0,0,0
8,4,0,0,1,2,84,22,162,165,167,169,175,238.6,187.9,173.2,216.5,236.5,0,0,0,0,0
9,5,0,1,0,6,56,28,327,330,322,333,343,312.9,305.6,357.9,319.9,365,0,0,0,0,0
10,4,0,0,1,2,124,24,237,241,250,238,236,205.5,231.6,256,237.8,258.7,0,1,0,0,0
11,2,0,0,0,12,0,23,145,146,146,131,117,119.6,108,99.2,140.2,75.3,0,0,0,0,0
12,2,0,0,1,3,52,14,135,152,155,150,164,174.7,170.7,176.5,233.7,256.8,0,0,0,1,0
13,1,0,0,0,3,44,23,131,135,142,137,130,110.1,122.3,81.9,95.1,105.8,0,0,0,0,0
14,3,0,0,0,8,0,13,122,126,127,127,124,133.7,107,112.7,103.7,100,0,0,0,0,0
15,2,0,0,0,6,24,27,129,128,129,134,136,102,117.1,115.3,111.5,148.4,0,0,0,0,0
16,2,0,0,1,5,48,24,215,221,213,220,224,295.8,311.5,280.6,213.6,236.4,0,0,0,0,0
17,2,0,0,0,6,32,21,162,167,177,174,173,183.6,161.2,172.7,158.2,147.9,0,0,0,0,0
18,1,0,0,0,6,36,19,168,184,181,197,181,202.4,194.6,202,194.8,194.7,0,0,0,0,0
19,2,0,0,0,5,32,18,157,170,150,137,141,98.1,121.5,133.6,183,139.6,0,0,0,0,1
20,2,0,0,0,1,164,21,170,175,168,163,160,175.6,171.6,132.7,188.6,192.9,0,0,0,0,0
21,5,1,0,0,0,0,30,445,432,413,371,369,460.8,445.1,455.8,469.8,429,0,0,0,1,0
22,3,0,0,0,2,68,22,112,138,136,124,131,141.4,139.7,172.4,159.9,164.3,0,0,0,0,0
23,1,0,0,0,7,28,23,183,180,187,188,179,175.4,184.6,222.1,202,177,0,0,0,0,0
24,5,0,0,0,3,44,16,135,130,136,151,140,127.8,121.4,124.7,146.3,140.2,0,0,0,0,0
25,3,0,0,0,10,0,25,136,140,145,149,147,129.6,158.8,90.4,160,199.4,0,1,0,0,0
26,1,0,0,0,4,36,16,131,133,136,135,139,202.5,192.7,188,195.9,131.6,0,0,0,0,0
27,3,0,0,0,2,84,20,165,181,180,167,171,189.2,202.8,200.1,191.5,151.3,0,0,0,0,0
28,2,0,0,1,8,28,25,195,196,203,204,191,160.2,181.3,202.8,242.6,228.1,0,0,0,1,0
29,5,0,0,0,6,24,13,133,127,116,112,111,97.7,61.1,97.2,73.1,57.3,0,0,0,0,0
30,3,0,0,1,5,60,27,300,297,297,299,298,307.3,304.6,296.6,260.3,288.6,1,0,0,0,0
31,1,0,0,0,4,36,23,140,137,133,139,143,147.7,126.9,111,175.2,147.1,0,0,0,0,0
32,5,0,0,0,5,36,16,168,174,166,161,163,215.9,199.1,163.7,171.1,170.6,0,1,0,0,0
33,3,0,0,0,2,68,14,122,133,134,131,137,110.9,100.5,142,171,168.1,0,1,0,0,0
34,2,0,0,0,5,36,22,172,175,187,177,181,157,177.3,163.6,191.9,154.6,0,0,0,0,0
35,1,0,0,0,8,28,15,110,203,194,214,140,194,149.6,117.5,174.4,174.5,0,0,0,0,0
36,3,0,0,0,6,28,23,143,148,147,150,149,43.8,64.6,59.5,63.8,133.9,0,0,0,0,0
37,2,0,0,0,2,64,11,121,119,121,116,124,146.2,135.4,158.8,134.1,104.7,0,0,0,0,0
38,3,0,0,0,4,36,25,131,129,133,139,134,114.5,110.4,96.7,134,162.9,0,0,0,0,0
39,2,0,0,0,4,44,26,175,165,171,160,164,193.8,160.3,154.4,202.6,140.7,0,0,0,0,1
40,4,0,0,1,4,52,24,203,218,219,215,209,276.7,235.3,203,194.3,210.4,1,0,0,0,1
41,2,0,0,0,5,36,20,177,176,169,166,167,206.6,173.2,201.4,146.2,158.1,0,0,0,0,0
42,4,0,0,1,2,100,20,210,196,196,196,197,189.5,226.9,272,231.5,205.7,0,0,0,0,1
43,3,0,0,0,3,56,18,170,173,166,164,173,168.7,191.3,179.3,146.8,177.6,0,0,0,0,0
44,4,1,0,0,0,0,26,452,471,463,498,550,463.2,516.2,529.8,518.2,528.8,0,0,0,1,0
